"","Ascaris","Trichuris","Hookworm","Schistosoma","Any STH"
"Humans",0.148395721925134,0.135026737967914,0.036096256684492,0.0949197860962567,0.25668449197861
"Cats and Dogs",0.0254237288135593,0.0932203389830508,0.466101694915254,0.0338983050847458,0.533898305084746
"Pigs",0.139705882352941,0.161764705882353,0.419117647058824,0.0441176470588235,0.492647058823529
"Water Buffalo and Cattle",0,0,0.102678571428571,0.0178571428571429,0.102678571428571
